date,tata,airtel,wifi
"2016-09-28T12:23:06.579362","3.846","2.482","0.647"
"2016-09-28T12:24:06.803684","3.182","2.321","0.649"
"2016-09-28T12:25:06.928232","15.077","2.267","1.622"
"2016-09-28T12:26:06.756491","3.066","1.930","0.527"
"2016-09-28T12:27:06.980311","3.411","1.942","0.901"
"2016-09-28T12:28:07.213771","2.982","3.279","0.883"
"2016-09-28T12:29:06.456736","24.624","1.938","0.527"
"2016-09-28T12:30:06.673465","57.860","3.436","0.803"
"2016-09-28T12:31:07.094013","3.342","1.953","0.573"
"2016-09-28T12:32:06.161257","3.258","9.462","0.523"
"2016-09-28T12:33:06.300273","7.822","1.971","0.699"
"2016-09-28T12:34:06.389826","3.237","1.947","0.613"
"2016-09-28T12:35:06.491879","3.225","2.154","1.811"
"2016-09-28T12:37:07.098924","3.232","1.963","0.551"
"2016-09-28T12:38:06.196310","3.052","2.345","0.496"
"2016-09-28T12:39:06.295211","3.103","2.012","0.563"
"2016-09-28T12:40:06.417617","3.211","2.384","1.425"
"2016-09-28T12:41:06.917659","3.249","1.927","0.528"
